salt,bank,target,factor_capture,two_minus_client,two_minus_context,two_minus_mean_mismatch,mismatch_mean,mismatch_min,mismatch_max
T013-S2,A,brightness_dark,0.8550594707509253,7.315884928861457,10.767865872887686,5.359536856373597,27.888428586230823,25.85699759395081,29.950205869241522
T013-S2,A,contrast_low,0.6918737985948574,1.0896206897798106,1.2558954212863211,4.660656717028768,25.15671212476357,23.227542031135226,26.941113504923067
T013-S2,A,gaussian_noise,0.884939748979879,0.16577388048595496,4.718165991039013,6.720124864361618,30.48445362231398,29.465548049315668,31.98519340664388
T013-S2,A,gaussian_blur,0.7708065265034073,-0.22314699451101927,8.657058467253474,7.534187499314009,30.92100814363179,29.559116465622143,32.05164541393109
T013-S2,B,clean,0.8284023780111666,0.0,5.565886602053769,7.0435944527847685,32.66098206903754,30.903795067131195,33.577515474401615
T013-S2,B,brightness_dark,0.8604563230517165,7.642162706682912,13.172559645440833,5.752422956715322,27.575569753697074,25.324578219540793,28.93622928270607
T013-S2,B,contrast_low,0.6943610986852492,1.269154267349267,1.6182210919519897,4.701704268432742,25.028142333343446,23.069553837771128,26.7516142732859
T013-S2,B,gaussian_noise,0.8613456255490337,0.246329830792336,5.614194890915407,7.121625154698895,29.96503308000674,28.406847182161297,31.20464682299374
T013-S2,B,gaussian_blur,0.7509187561810896,-0.31781535992712723,9.955589513875285,7.944792434802138,30.36503206423064,29.317839505246287,31.342836183106456
T013-S3,A,clean,0.8082926137462065,0.0,5.58170240373355,6.976169944425593,32.7442223790765,31.93848660820517,33.83913628667903
T013-S3,A,brightness_dark,0.8601587184580783,7.763071490151628,10.401234646824262,5.504300012088925,27.81134472916165,25.66974047627749,29.392279843445515
T013-S3,A,contrast_low,0.7012420232721792,1.6210749503531616,1.342899034904976,4.838122542353751,25.06624991305724,23.016770826008038,27.49587076086516
T013-S3,A,gaussian_noise,0.8891663518582318,0.3242530043955714,5.843822939485405,7.056785212922004,30.157750246742825,29.112224669251095,31.38674919748659
T013-S3,A,gaussian_blur,0.7780213490494479,0.11080769604661458,8.640746304189433,7.868552119923953,30.570331359957805,29.176827947340318,31.797217636523975
T013-S3,B,clean,0.8170254395228569,0.0,5.523958162687494,6.893175669988456,32.76947241246758,31.441426956513855,33.87844935534021
T013-S3,B,brightness_dark,0.851613838660861,8.052010474660689,13.013122368919413,5.640269950485671,27.52828548340531,25.510883661650272,28.46387938847843
T013-S3,B,contrast_low,0.6969289905597436,1.8842677487230521,1.6188410337144743,4.699903040618292,25.030563502920383,22.756219507554075,26.99247096800551
T013-S3,B,gaussian_noise,0.872667805280545,0.2058282563237362,5.657793541190831,7.268285811637568,29.914659077846114,28.450345205967462,30.89584880313063
T013-S3,B,gaussian_blur,0.75496472249597,-0.061906516044868444,9.919810339699648,8.056747570747591,30.217297754109552,28.891219081470787,31.266655294129166
